"Homolog > Gene 1 . Primary Identifier","Homolog > Gene 1 > Organism Name","Homolog > Gene 2 . Primary Identifier","Homolog > Gene 2 > Organism Name","Homolog > Relationship","Homolog > Gene 2 > Chromosome Location . End","Homolog > Gene 2 > Chromosome Location . Start","Homolog > Gene 1 > Chromosome Location . End","Homolog > Gene 1 > Chromosome Location . Start","Homolog > Gene 1 > Chromosome > Name","Homolog > Gene 2 > Chromosome > Name","Homolog > Gene 1 > Defline","Homolog > Gene 2 > Defline",
"AC148152.3_FG008","Z. mays","Sobic.005G217000","S. bicolor","one-to-one","60658177","60652979","231883597","231879065","2","Chr05","","similar to Putative beta-glycosidase",
"AC148167.6_FG001","Z. mays","Sobic.002G056900","S. bicolor","one-to-one","5549290","5543636","11676398","11670462","7","Chr02","","similar to Putative seed specific protein",
"AC149475.2_FG002","Z. mays","Sobic.001G502900","S. bicolor","one-to-one","69958663","69954314","152754681","152751857","9","Chr01","","similar to Putative uncharacterized protein",
"AC149475.2_FG005","Z. mays","Sobic.001G501800","S. bicolor","one-to-one","69885732","69876434","152801912","152791245","9","Chr01","","",
"AC149810.2_FG004","Z. mays","Sobic.001G493800","S. bicolor","many-to-one","69096917","69095565","151864339","151863692","9","Chr01","","similar to Putative uncharacterized protein",
"AC149810.2_FG008","Z. mays","Sobic.001G517900","S. bicolor","one-to-one","71212246","71209462","151900165","151897573","9","Chr01","","similar to Serine/threonine-protein kinase Cx32, chloroplast, putative, expressed",
"AC149818.2_FG001","Z. mays","Sobic.001G505200","S. bicolor","one-to-one","70150910","70144101","152686897","152681211","9","Chr01","","similar to Ras family protein, expressed",
"AC149818.2_FG004","Z. mays","Sobic.001G505000","S. bicolor","one-to-one","70131824","70130487","152703638","152703158","9","Chr01","","similar to Cyclin-dependent kinases regulatory subunit 1",
"AC149818.2_FG005","Z. mays","Sobic.001G503600","S. bicolor","many-to-one","70025049","70023474","152708771","152707554","9","Chr01","","",
"AC149818.2_FG007","Z. mays","Sobic.001G503400","S. bicolor","one-to-one","70013963","70011007","152721236","152719947","9","Chr01","","similar to Os03g0148400 protein",
"AC149818.2_FG008","Z. mays","Sobic.001G503200","S. bicolor","one-to-one","69998898","69994947","152728503","152726608","9","Chr01","","weakly similar to Putative uncharacterized protein",
"AC149828.2_FG005","Z. mays","Sobic.002G024900","S. bicolor","many-to-many","2350601","2349884","150775421","150774648","9","Chr02","","",
"AC149828.2_FG005","Z. mays","Sobic.008G132100","S. bicolor","many-to-many","48411518","48410368","150775421","150774648","9","Chr08","","",
"AC149829.2_FG002","Z. mays","Sobic.001G488000","S. bicolor","one-to-one","68606811","68606557","151383185","151382931","9","Chr01","","similar to Leucine zipper protein",
"AC149829.2_FG003","Z. mays","Sobic.001G488100","S. bicolor","one-to-one","68614238","68608825","151388392","151384634","9","Chr01","","similar to Nucleoporin family protein, putative, expressed",
"AC149829.2_FG006","Z. mays","Sobic.001G488500","S. bicolor","one-to-one","68660756","68654969","151417116","151415830","9","Chr01","","similar to Kelch repeat-containing F-box family protein, putative, expressed",
"AC150739.3_FG001","Z. mays","Sobic.001G540800","S. bicolor","one-to-one","73191305","73187353","155454202","155450361","9","Chr01","","weakly similar to DNA-binding family protein, putative, expressed",
"AC152495.1_FG002","Z. mays","Sobic.008G027000","S. bicolor","many-to-many","2442899","2436382","3287419","3283523","10","Chr08","","",
"AC152495.1_FG002","Z. mays","Sobic.008G027200","S. bicolor","many-to-many","2464786","2446973","3287419","3283523","10","Chr08","","",
"AC152495.1_FG002","Z. mays","Sobic.008G027400","S. bicolor","many-to-many","2464786","2457035","3287419","3283523","10","Chr08","","",
"AC152495.1_FG003","Z. mays","Sobic.008G027000","S. bicolor","many-to-many","2442899","2436382","3307226","3300337","10","Chr08","","",
"AC152495.1_FG003","Z. mays","Sobic.008G027200","S. bicolor","many-to-many","2464786","2446973","3307226","3300337","10","Chr08","","",
"AC152495.1_FG003","Z. mays","Sobic.008G027400","S. bicolor","many-to-many","2464786","2457035","3307226","3300337","10","Chr08","","",
"AC152495.1_FG010","Z. mays","Sobic.008G027000","S. bicolor","many-to-many","2442899","2436382","3376038","3372154","10","Chr08","","",
"AC152495.1_FG010","Z. mays","Sobic.008G027200","S. bicolor","many-to-many","2464786","2446973","3376038","3372154","10","Chr08","","",
"AC152495.1_FG010","Z. mays","Sobic.008G027400","S. bicolor","many-to-many","2464786","2457035","3376038","3372154","10","Chr08","","",
"AC152495.1_FG013","Z. mays","Sobic.005G211600","S. bicolor","many-to-many","60180581","60176739","3399693","3396644","10","Chr05","","Predicted protein",
"AC152495.1_FG013","Z. mays","Sobic.009G152500","S. bicolor","many-to-many","50918677","50916416","3399693","3396644","10","Chr09","","",
"AC152495.1_FG013","Z. mays","Sobic.010G102400","S. bicolor","many-to-many","9486048","9482941","3399693","3396644","10","Chr10","","",
"AC155352.2_FG001","Z. mays","Sobic.001G430800","S. bicolor","many-to-one","63818622","63814326","35352190","35349360","2","Chr01","","similar to Expressed protein",
"AC155376.2_FG005","Z. mays","Sobic.003G389000","S. bicolor","one-to-one","70022841","70015858","163727524","163719701","8","Chr03","","similar to Putative latex cyanogenic beta glucosidase",
"AC155377.1_FG001","Z. mays","Sobic.003G198800","S. bicolor","one-to-one","52497772","52483961","220986200","220967145","3","Chr03","","similar to Unconventional myosin heavy chain",
"AC155377.1_FG002","Z. mays","Sobic.003G199200","S. bicolor","one-to-one","52649584","52643937","221069432","221063736","3","Chr03","","similar to OSIGBa0137O04.7 protein",
"AC155390.2_FG002","Z. mays","Sobic.001G440300","S. bicolor","one-to-one","64640707","64636178","32674147","32672150","1","Chr01","","",
